ID,Name,SMILES,Inhibitor Efficiency,NEW Inhibitor Efficiency,Dipole Moment,Polarisability,HOMO,LUMO,Band Gap,Ionization Potential,Electron Affinity,Electro-negativity,Hardness,Softness,Electro-philicity,Electron Donor Capacity,Electron Acceptor Capacity,ΔN,NBO Charge on N,log P,Solvent Accessible SA,VDW Surface Area,VDW Volume,PAE,EXP(PAE)
sv_0037,2-ethylpyridine,CCc1ccccn1,0.084,1.245171724,3.01896,131.636,-6.019705908,-1.75377473,4.265931178,6.724861583,1.357747361,4.041304472,2.683557111,0.372639731,3.043002471,5.399099346,1.357794874,0.551263753,-0.50403,1.59,312.39,191.58,112.81,-2.64205,0.071215129
sv_0039,8-isopropylquinoline,CC(C)c1cccc2cccnc12,0.912,1.94326612,2.57205,238.218,-5.656705832,-2.413106952,3.24359888,6.016040532,2.098344797,4.057192665,1.958847868,0.510504168,4.201656644,6.47510896,2.417916296,0.751157704,-0.47893,3.38,377.57,283.18,173.95,-3.005981231,0.049490169
sv_0040,isoquinoline,c1ccc2cnccc2c1,0.642,1.887598056,4.05041,177.452,-5.783238842,-2.422903056,3.360335786,6.1416889,2.109015747,4.125352324,2.016336576,0.495948946,4.220161454,6.534879688,2.409527364,0.712839243,-0.49165,1.75,296.13,191.45,123.01,-3.3249,0.035976116
sv_0023,2-methylquinoline,Cc1ccc2ccccc2n1,0.847,1.933369395,3.14673,201.588,-5.84528,-2.35296,3.49232,6.20538126,2.04065037,4.123015815,2.082365445,0.480223105,4.081718569,6.403522157,2.280506342,0.690797139,-0.49882,2.26,348.45,224.47,139.79,-3.8366,0.021566804
sv_0024,6-methylquinoline,Cc1ccc2ncccc2c1,0.85,1.933864851,3.82547,201.643,-5.77861,-2.41038,3.36823,6.13866489,2.09511044,4.116887665,2.021777225,0.494614336,4.191550838,6.502716824,2.385829159,0.713014347,-0.47965,2.64,343.11,224.33,139.83,-3.59302,0.027515109
sv_0025,4-methylquinoline,Cc1ccnc2ccccc12,1.053,1.959751165,4.27242,199.387,-5.81943,-2.42616,3.39327,6.16825702,2.12704629,4.147651655,2.020605365,0.49490119,4.256896113,6.583297611,2.435645956,0.705815295,-0.48919,2.64,330.46,223.73,139.85,-3.60524,0.027180921
sv_0026,8-hydroxyquinoline,Oc1cccc2cccnc12,0.742,1.913212834,3.86697,188.119,-5.38622,-2.4161,2.97012,5.77653232,2.09493548,3.9357339,1.84079842,0.543242535,4.207413794,6.405380547,2.469646647,0.832319842,-0.47358,1.83,307.11,202.19,131.3,-3.48692,0.03059496
sv_0027,8-methoxyquinoline,COc1cccc2cccnc12,0.862,1.93580734,3.32276,207.642,-5.3386,-2.38562,2.95298,5.72215251,2.06615561,3.89415406,1.82799845,0.547046416,4.147825137,6.323401973,2.429247913,0.849520945,-0.47309,1.97,364.71,238.62,148.91,-3.55661,0.028535396
sv_0031,6-chloroquinoline,Clc1ccc2ncccc2c1,0.739,1.912546423,2.99675,197.296,-5.96637,-2.61909,3.34728,6.34637359,2.29900955,4.32269157,2.02368202,0.494148779,4.616748635,7.031054673,2.708363103,0.661494346,-0.47367,2.73,318.05,208.53,136.95,-3.68671,0.025054295
sv_0041,4-phenoxypyridine,O(c1ccccc1)c2ccncc2,0.083,1.240454518,4.43832,205.612,-6.2178049,-1.660711742,4.557093158,8.933142885,1.45681781,5.194980348,3.738162538,0.267511107,3.609770916,6.674531407,1.479551059,0.241431403,-0.5135,2.26,370.29,251.66,159.8,-2.27021,0.103290487
